ëÅEEPROM
Saved flight state: 0
Saved baseline: 988.13
TIME,TEMPERATURE, PRESSURE, ALTITUDE, LATITUDE, LONGITUDE, ANGLE, GPS_ALTX, Y, Z, SWC, SWP, TURN, FLIGHT_STATE
222820,18.50,990.17,0.17,34.7259674,86.6398239,0.0000000,207.40,343.6875,85.1875,4.7500,1,1,2,0
223895,18.50,990.16,0.26,34.7259674,86.6398239,0.0000000,207.40,343.9375,85.4375,4.5000,1,1,2,0
224969,18.50,990.17,0.17,34.7259674,86.6398239,0.0000000,207.40,344.4375,85.8750,4.0000,1,1,2,0
226044,18.50,990.14,0.43,34.7259674,86.6398239,0.0000000,207.40,344.1250,85.5000,4.3750,1,1,2,0
227118,18.50,990.15,0.34,34.7259674,86.6398239,0.0000000,207.40,343.5000,84.8750,5.0625,1,1,2,0
228193,18.50,990.18,0.09,34.7259674,86.6398239,0.0000000,207.40,343.3750,84.6875,5.1875,1,1,2,0
229268,18.50,990.17,0.17,34.7259674,86.6398239,0.0000000,207.40,343.5625,84.9375,4.9375,1,1,2,0
230342,18.50,990.14,0.43,34.7259674,86.6398239,0.0000000,207.40,343.2500,84.6250,5.2500,1,1,2,0
231474,18.50,990.09,0.85,34.7259674,86.6398239,0.0000000,207.40,343.3125,84.6250,5.2500,1,1,2,0
232593,18.60,990.19,0.00,34.7259674,86.6398239,0.0000000,207.40,343.6875,85.0625,4.8125,1,1,2,0
233667,18.60,990.19,0.00,34.7259674,86.6398239,0.0000000,207.40,344.0625,85.5000,4.4375,1,1,2,0
234742,18.60,990.23,-0.34,34.7259674,86.6398239,0.0000000,207.40,343.9375,85.3125,4.6250,1,1,2,0
235817,18.60,990.17,0.17,34.7259674,86.6398239,0.0000000,207.40,344.0000,85.3750,4.5625,1,1,2,0
236892,18.60,990.20,-0.09,34.7259674,86.6398239,0.0000000,207.40,344.4375,85.8125,4.1250,1,1,2,0
237967,18.60,990.14,0.43,34.7259674,86.6398239,0.0000000,207.40,343.9375,85.2500,4.6875,1,1,2,0
239042,18.60,990.11,0.68,34.7259712,86.6398239,0.0000000,207.40,343.8750,85.1875,4.7500,1,1,2,0
240116,18.60,990.11,0.68,34.7259712,86.6398239,0.0000000,207.40,343.8750,85.1250,4.7500,1,1,2,0
241190,18.60,990.17,0.17,34.7259712,86.6398239,0.0000000,207.40,343.5000,84.7500,5.1250,1,1,2,0
242266,18.60,990.12,0.60,34.7259750,86.6398239,0.0000000,207.40,343.6875,85.0000,4.9375,1,1,2,0
243401,18.60,990.13,0.51,34.7259750,86.6398239,0.0000000,207.40,344.1250,85.3125,4.5625,1,1,2,0
244536,18.60,990.15,0.34,34.7259750,86.6398239,0.0000000,207.30,344.1875,85.4375,4.5000,1,1,2,0
245610,18.60,990.12,0.60,34.7259750,86.6398239,0.0000000,207.30,343.6875,84.6875,5.1250,1,1,2,0
